District,Zn %,Fe%,Cu %,Mn %,B %,S %
ANANTAPUR,67.67,65.14,91.88,77.7,73.54,85.9
CHITTOOR,80.51,78.19,99.77,91.82,89.04,88.62
EAST GODAVARI,79.27,88.14,95.54,97.24,88.05,95.67
GUNTUR,58.3,71.16,98.86,91.4,86.15,86.81
KRISHNA,78.62,82.02,98.05,95.23,65.78,98.56
KURNOOL,60.7,48.45,97.47,91.34,92.75,96.05
PRAKASAM,40.66,59.14,94.65,82.17,73.99,69.54
NELLORE,39.58,55.37,80.72,79.83,77.23,87.61
SRIKAKULAM,81.05,75.77,98.85,91.31,96.76,94.45
VISAKHAPATANAM,58.7,64.93,96.44,78.35,85.4,88.29
VIZIANAGARAM,61.6,93.71,95.22,98.34,79.43,87.59
WEST GODAVARI,67.36,87.69,96.54,96.76,87.74,88.24
Y.S.R.,68.61,67.42,92.82,92.72,71.8,86.46
NICOBARS,71.52,98.79,93.03,99.7,100.0,0.3
NORTH AND MIDDLE ANDAMAN,93.36,100.0,83.19,100.0,90.78,0.23
SOUTH ANDAMANS,80.0,99.59,81.28,98.68,99.34,0.5
ANJAW,65.1,99.89,81.62,91.86,62.010000000000005,71.25
CHANGLANG,0.0,100.0,66.67,100.0,62.010000000000005,100.0
DIBANG VALLEY,57.72,99.45,92.05,94.33,0.0,90.59
EAST KAMENG,67.76,99.8,71.78,45.95,62.010000000000005,7.96
EAST SIANG,35.68,100.0,80.54,51.63,62.010000000000005,99.46
KRA DAADI,44.44,88.89,25.0,100.0,33.33,66.67
KURUNG KUMEY,76.94,100.0,82.11,93.97,0.0,21.77
LOHIT,67.3,98.07,86.61,87.35,100.0,39.16
LOWER DIBANG VALLEY,48.09,99.49,91.15,75.37,62.010000000000005,69.45
LOWER SUBANSIRI,50.0,100.0,50.0,100.0,0.0,0.0
NAMSAI,100.0,100.0,100.0,90.91,62.010000000000005,100.0
PAPUM PARE,63.77,91.62,84.68,50.74,0.0,15.61
TAWANG,100.0,100.0,100.0,100.0,0.0,100.0
TIRAP,84.0,100.0,90.67,65.88,62.010000000000005,100.0
UPPER SIANG,45.23,99.84,91.82,66.12,100.0,96.44
UPPER SUBANSIRI,41.8,100.0,60.58,53.48,62.010000000000005,0.26
WEST KAMENG,93.44,100.0,80.33,91.26,62.010000000000005,1.64
WEST SIANG,43.52,97.98,89.57,76.11,62.010000000000005,69.94
BAKSA,65.1,98.14,99.63,90.41,2.99,88.56
BARPETA,89.47,97.73,99.66,95.84,29.56,85.47
BISWANATH,93.58,99.98,99.55,99.47,0.92,98.41
BONGAIGAON,99.79,99.53,99.96,87.64,0.92,99.63
CACHAR,89.85,99.55,99.98,99.59,0.06,99.59
CHARAIDEO,99.9,99.95,98.94,90.71,3.42,98.22
CHIRANG,99.96,99.91,100.0,93.21,1.65,99.78
DARRANG,85.73,99.41,99.24,98.64,7.77,96.98
DHEMAJI,99.7,99.49,99.94,87.86,3.99,98.04
DHUBRI,98.36,99.98,99.98,99.17,0.06,99.86
DIBRUGARH,97.05,98.14,99.88,90.46,4.51,99.04
DIMA HASAO,100.0,100.0,100.0,100.0,0.0,100.0
GOALPARA,71.28,99.6,99.97,99.68,1.41,96.49
GOLAGHAT,97.42,99.91,99.98,99.77,0.48,99.52
HAILAKANDI,97.0,99.99,100.0,99.91,0.0,99.99
HOJAI,98.32,84.0,56.33,97.57,61.09,97.49
JORHAT,97.6,99.96,99.99,99.38,1.97,99.22
KAMRUP,64.95,99.04,99.56,83.13,0.32,99.74
KAMRUP METRO,99.88,99.97,100.0,99.94,0.15,99.94
KARBI ANGLONG,96.0,99.57,99.86,99.62,3.86,93.62
KARIMGANJ,98.64,99.78,99.95,99.24,0.08,99.88
