state,crop,fertilizer_kg,labour_hours,seed_rate,net_profit,price_source
Andhra Pradesh,SUGARCANE,250.0,5.0,5.0,1673395.38,Estimated
Andhra Pradesh,BLACK PEPPER,250.0,5.0,5.0,1605612.45,National Avg
Andhra Pradesh,DRY CHILLIES,250.0,5.0,5.0,518622.71,State Market
Andhra Pradesh,GARLIC,250.0,5.0,5.0,232499.22,National Avg
Andhra Pradesh,RICE,250.0,5.0,5.0,193620.19,State Market
Andhra Pradesh,CASTOR SEED,203.2,5.0,5.0,146903.97,State Market
Andhra Pradesh,GROUNDNUT,243.3,5.0,5.0,136780.3,State Market
Andhra Pradesh,LINSEED,175.6,5.0,5.0,121822.13,National Avg
Andhra Pradesh,TOBACCO,175.1,5.0,5.0,121400.72,National Avg
Andhra Pradesh,SOYABEAN,151.2,5.0,5.0,99820.91,National Avg
Andhra Pradesh,SUNFLOWER,149.3,5.0,5.0,98097.96,State Market
Andhra Pradesh,COCONUT,149.0,5.0,5.0,97803.42,National Avg
Andhra Pradesh,SAFFLOWER,137.0,5.0,5.0,87076.24,National Avg
Andhra Pradesh,WHEAT,151.5,5.0,5.0,72222.71,National Avg
Andhra Pradesh,TAPIOCA,100.0,5.0,5.0,53974.04,National Avg
Andhra Pradesh,MAIZE,82.3,5.0,5.0,40307.7,State Market
Andhra Pradesh,POTATO,81.7,5.0,5.0,37818.55,State Market
Andhra Pradesh,SWEET POTATO,78.7,5.0,5.0,35097.82,National Avg
Andhra Pradesh,BANANA,78.6,5.0,5.0,35019.13,State Market
Andhra Pradesh,ONION,67.0,5.0,5.0,24848.3,State Market
Andhra Pradesh,ARECANUT,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,PIGEONPEA,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,PEARL MILLET,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,CASHEWNUT,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,CORIANDER,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,COTTON(LINT),65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,GINGER,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,HORSE-GRAM,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,SORGHUM,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,MESTA,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,GREENGRAM,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,NIGER SEED,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,OTHER  RABI PULSES,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,OTHER KHARIF PULSES,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,FINGER MILLET,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,RAPESEED &MUSTARD,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,SESAME,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,MILLET,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,BLACKGRAM,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,OTHER OILSEEDS,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,COWPEA(LOBIA),65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,SANNHAMP,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,OILSEEDS TOTAL,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,GUAR SEED,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,MASOOR,65.7,5.0,5.0,23679.41,Estimated
Andhra Pradesh,GRAM,29.0,5.0,5.0,4441.08,Estimated
Arunachal Pradesh,SUGARCANE,250.0,5.0,5.0,1673395.38,Estimated
Arunachal Pradesh,DRY CHILLIES,250.0,5.0,5.0,479855.67,National Avg
Arunachal Pradesh,TURMERIC,250.0,5.0,5.0,243668.75,National Avg
Arunachal Pradesh,RICE,250.0,5.0,5.0,158828.64,National Avg
Arunachal Pradesh,GROUNDNUT,250.0,5.0,5.0,150636.24,National Avg
Arunachal Pradesh,SUNFLOWER,151.5,5.0,5.0,100113.31,National Avg
Arunachal Pradesh,SOYABEAN,151.2,5.0,5.0,99820.91,National Avg
Arunachal Pradesh,WHEAT,151.5,5.0,5.0,72222.71,National Avg
Arunachal Pradesh,MAIZE,86.0,5.0,5.0,43611.2,National Avg
Arunachal Pradesh,POTATO,67.9,5.0,5.0,25627.21,National Avg
Arunachal Pradesh,PIGEONPEA,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,GINGER,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,MASOOR,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,GREENGRAM,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,OTHER  RABI PULSES,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,OTHER KHARIF PULSES,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,PEAS & BEANS (PULSES),65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,RAPESEED &MUSTARD,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,SESAME,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,MILLET,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,BLACKGRAM,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,OTHER OILSEEDS,65.7,5.0,5.0,23679.41,Estimated
Arunachal Pradesh,OILSEEDS TOTAL,65.7,5.0,5.0,23679.41,Estimated
Assam,SUGARCANE,250.0,5.0,5.0,1673395.38,Estimated
Assam,BLACK PEPPER,250.0,5.0,5.0,1605612.45,National Avg
Assam,DRY CHILLIES,250.0,5.0,5.0,479855.67,National Avg
Assam,TURMERIC,250.0,5.0,5.0,243668.75,National Avg
Assam,CASTOR SEED,195.6,5.0,5.0,139991.12,National Avg
Assam,JUTE,184.3,5.0,5.0,129722.59,National Avg
Assam,LINSEED,175.6,5.0,5.0,121822.13,National Avg
Assam,TOBACCO,175.1,5.0,5.0,121400.72,National Avg
Assam,RICE,250.0,5.0,5.0,116360.18,State Market
Assam,COCONUT,149.0,5.0,5.0,97803.42,National Avg
Assam,BANANA,116.8,5.0,5.0,68957.8,National Avg
Assam,WHEAT,144.3,5.0,5.0,66784.34,State Market
Assam,TAPIOCA,100.0,5.0,5.0,53974.04,National Avg
Assam,MAIZE,86.0,5.0,5.0,43611.2,National Avg
