date,state,district,market,commodity,variety,grade,min_price,max_price,modal_price,crop
2023-07-27,Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,FAQ,4100.0,4500.0,4350.0,okra
2023-07-27,Tripura,North Tripura,Kanchanpur,Bitter Gourd,Bitter Gourd,FAQ,4000.0,5000.0,4500.0,bitter gourd
2023-07-27,Tripura,North Tripura,Kanchanpur,Brinjal,Round/Long,FAQ,2000.0,3000.0,2500.0,brinjal
2023-07-27,Tripura,North Tripura,Kanchanpur,Cowpea(Veg),Cowpea (Veg),FAQ,2000.0,3000.0,2500.0,cowpea(veg)
2023-07-27,Tripura,North Tripura,Kanchanpur,Green Chilli,Green Chilly,FAQ,10000.0,15000.0,12500.0,green chilli
2023-07-27,Tripura,North Tripura,Kanchanpur,Masur Dal,Masur Dal,FAQ,8000.0,12000.0,10000.0,masur dal
2023-07-27,Tripura,North Tripura,Kanchanpur,Onion,Nasik,FAQ,3000.0,4000.0,3500.0,onion
2023-07-27,Tripura,North Tripura,Kanchanpur,Potato,Potato,FAQ,2000.0,3000.0,2500.0,potato
2023-07-27,Tripura,North Tripura,Kanchanpur,Rice,Masuri,FAQ,3400.0,5000.0,4200.0,rice
2023-07-27,Tripura,North Tripura,Kanchanpur,Bhindi(Ladies Finger),Bhindi,FAQ,3000.0,4000.0,3500.0,okra
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Apple,Kasmir/Shimla - II,Medium,4700.0,4900.0,4800.0,apple
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Bottle Gourd,Bottle Gourd,FAQ,950.0,1050.0,1000.0,bottle gourd
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Cucumbar(Kheera),Cucumbar,FAQ,1900.0,2000.0,1950.0,cucumbar(kheera)
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Green Chilli,Green Chilly,FAQ,2300.0,2400.0,2350.0,green chilli
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Onion,Onion,FAQ,1100.0,1200.0,1150.0,onion
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Potato,Chips,FAQ,1300.0,1400.0,1350.0,potato
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Pumpkin,Pumpkin,FAQ,600.0,700.0,650.0,pumpkin
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Raddish,Raddish,FAQ,600.0,700.0,650.0,raddish
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Sponge Gourd,Sponge gourd,FAQ,1100.0,1200.0,1150.0,sponge gourd
2023-07-27,Uttar Pradesh,Baghpat,Baraut,Banana - Green,Banana - Green,FAQ,1000.0,1100.0,1050.0,banana - green
2023-07-27,Tripura,North Tripura,Dasda,Rice,Masuri,FAQ,3200.0,3400.0,3300.0,rice
2023-07-27,Tripura,North Tripura,Dasda,Potato,Potato,FAQ,1800.0,2500.0,2150.0,potato
2023-07-27,Tripura,North Tripura,Dasda,Onion,Onion,FAQ,2000.0,4000.0,3000.0,onion
2023-07-27,Punjab,Amritsar,Mehta,Bottle Gourd,Bottle Gourd,FAQ,2500.0,2500.0,2500.0,bottle gourd
2023-07-27,Punjab,Amritsar,Mehta,Brinjal,Arkasheela Mattigulla,FAQ,3200.0,3200.0,3200.0,brinjal
2023-07-27,Punjab,Amritsar,Mehta,Carrot,Carrot,FAQ,2300.0,2300.0,2300.0,carrot
2023-07-27,Punjab,Amritsar,Mehta,Ridgeguard(Tori),Other,FAQ,3000.0,3000.0,3000.0,ridgeguard(tori)
2023-07-27,Punjab,Amritsar,Rayya,Bhindi(Ladies Finger),Bhindi,FAQ,3500.0,3500.0,3500.0,okra
2023-07-27,Punjab,Amritsar,Rayya,Brinjal,Brinjal,FAQ,2800.0,2800.0,2800.0,brinjal
2023-07-27,Punjab,Amritsar,Rayya,Cauliflower,Local,FAQ,1800.0,1800.0,1800.0,cauliflower
2023-07-27,Punjab,Amritsar,Rayya,Green Chilli,Green Chilly,FAQ,2900.0,2900.0,2900.0,green chilli
