State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Andaman And Nicobar Islands,Nicobars,2000,Kharif,arecanut,1254.0,2000.0,1.594896331738437
Andaman And Nicobar Islands,Nicobars,2000,Kharif,other kharif pulses,2.0,1.0,0.5
Andaman And Nicobar Islands,Nicobars,2000,Kharif,rice,102.0,321.0,3.1470588235294117
Andaman And Nicobar Islands,Nicobars,2000,Whole Year,banana,176.0,641.0,3.6420454545454546
Andaman And Nicobar Islands,Nicobars,2000,Whole Year,cashewnut,720.0,165.0,0.22916666666666666
Andaman And Nicobar Islands,Nicobars,2000,Whole Year,dry ginger,36.0,100.0,2.7777777777777777
Andaman And Nicobar Islands,Nicobars,2000,Whole Year,sugarcane,1.0,2.0,2.0
Andaman And Nicobar Islands,Nicobars,2000,Whole Year,sweet potato,5.0,15.0,3.0
Andaman And Nicobar Islands,Nicobars,2000,Whole Year,tapioca,40.0,169.0,4.225
Andaman And Nicobar Islands,Nicobars,2001,Kharif,arecanut,1254.0,2061.0,1.6435406698564594
Andaman And Nicobar Islands,Nicobars,2001,Kharif,other kharif pulses,2.0,1.0,0.5
Andaman And Nicobar Islands,Nicobars,2001,Kharif,rice,83.0,300.0,3.6144578313253013
Andaman And Nicobar Islands,Nicobars,2001,Whole Year,cashewnut,719.0,192.0,0.2670375521557719
Andaman And Nicobar Islands,Nicobars,2001,Whole Year,dry ginger,46.0,100.0,2.1739130434782608
Andaman And Nicobar Islands,Nicobars,2001,Whole Year,sugarcane,1.0,1.0,1.0
Andaman And Nicobar Islands,Nicobars,2001,Whole Year,sweet potato,11.0,33.0,3.0
Andaman And Nicobar Islands,Nicobars,2002,Kharif,rice,189.2,510.84,2.7
Andaman And Nicobar Islands,Nicobars,2002,Whole Year,arecanut,1258.0,2083.0,1.6558028616852147
Andaman And Nicobar Islands,Nicobars,2002,Whole Year,banana,213.0,1278.0,6.0
Andaman And Nicobar Islands,Nicobars,2002,Whole Year,black pepper,63.0,13.5,0.21428571428571427
Andaman And Nicobar Islands,Nicobars,2002,Whole Year,cashewnut,719.0,208.0,0.28929068150208626
Andaman And Nicobar Islands,Nicobars,2002,Whole Year,dry chillies,413.0,28.8,0.06973365617433414
Andaman And Nicobar Islands,Nicobars,2002,Whole Year,dry ginger,47.3,133.0,2.8118393234672308
Andaman And Nicobar Islands,Nicobars,2003,Kharif,rice,52.0,90.17,1.7340384615384616
Andaman And Nicobar Islands,Nicobars,2003,Whole Year,arecanut,1261.0,1525.0,1.2093576526566217
Andaman And Nicobar Islands,Nicobars,2003,Whole Year,banana,266.0,1763.0,6.62781954887218
Andaman And Nicobar Islands,Nicobars,2003,Whole Year,black pepper,75.5,15.86,0.21006622516556292
Andaman And Nicobar Islands,Nicobars,2003,Whole Year,cashewnut,717.0,208.5,0.2907949790794979
Andaman And Nicobar Islands,Nicobars,2003,Whole Year,dry chillies,60.0,102.0,1.7
Andaman And Nicobar Islands,Nicobars,2003,Whole Year,dry ginger,102.0,326.4,3.1999999999999997
Andaman And Nicobar Islands,Nicobars,2003,Whole Year,other oilseeds,4.2,0.3,0.07142857142857142
Andaman And Nicobar Islands,Nicobars,2004,Kharif,rice,52.94,72.57,1.3707971288250849
